,,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right
fe_03_00062,2,,,,,,,,,,
fe_03_00062,4,,,,,,,,,,
fe_03_00062,6,,,,,,,,,,
fe_03_00062,8,,,,,,,,,,
fe_03_00063,2,,,,,,,,,,
fe_03_00063,4,,,,,,,,,,
fe_03_00063,6,,,,,,,,,,
fe_03_00063,8,,,,,,,,,,
fe_03_00064,2,,,,,,,,,,
fe_03_00064,4,,,,,,,,,,
fe_03_00064,6,,,,,,,,,,
fe_03_00064,8,,,,,,,,,,
fe_03_00065,2,,,,,,,,,,
fe_03_00065,4,,,,,,,,,,
fe_03_00065,6,,,,,,,,,,
fe_03_00065,8,,,,,,,,,,
fe_03_00066,2,,,,,,,,,,
fe_03_00066,4,,,,,,,,,,
fe_03_00066,6,,,,,,,,,,
fe_03_00066,8,,,,,,,,,,
fe_03_00067,2,,,,,,,,,,
fe_03_00067,4,,,,,,,,,,
fe_03_00067,6,,,,,,,,,,
fe_03_00067,8,,,,,,,,,,
fe_03_00068,2,,,,,,,,,,
fe_03_00068,4,,,,,,,,,,
fe_03_00068,6,,,,,,,,,,
fe_03_00068,8,,,,,,,,,,
fe_03_00069,2,,,,,,,,,,
fe_03_00069,4,,,,,,,,,,
fe_03_00069,6,,,,,,,,,,
fe_03_00069,8,,,,,,,,,,
fe_03_00070,2,,,,,,,,,,
fe_03_00070,4,,,,,,,,,,
fe_03_00070,6,,,,,,,,,,
fe_03_00070,8,,,,,,,,,,
fe_03_00071,2,,,,,,,,,,
fe_03_00071,4,,,,,,,,,,
fe_03_00071,6,,,,,,,,,,
fe_03_00071,8,,,,,,,,,,
fe_03_00072,2,,,,,,,,,,
fe_03_00072,4,,,,,,,,,,
fe_03_00072,6,,,,,,,,,,
fe_03_00072,8,,,,,,,,,,
fe_03_00073,2,,,,,,,,,,
fe_03_00073,4,,,,,,,,,,
fe_03_00073,6,,,,,,,,,,
fe_03_00073,8,,,,,,,,,,
fe_03_00074,2,,,,,,,,,,
fe_03_00074,4,,,,,,,,,,
fe_03_00074,6,,,,,,,,,,
fe_03_00074,8,,,,,,,,,,
fe_03_00075,2,,,,,,,,,,
fe_03_00075,4,,,,,,,,,,
fe_03_00075,6,,,,,,,,,,
fe_03_00075,8,,,,,,,,,,
fe_03_00076,2,,,,,,,,,,
fe_03_00076,4,,,,,,,,,,
fe_03_00076,6,,,,,,,,,,
fe_03_00076,8,,,,,,,,,,
fe_03_00077,2,,,,,,,,,,
fe_03_00077,4,,,,,,,,,,
fe_03_00077,6,,,,,,,,,,
fe_03_00077,8,,,,,,,,,,
fe_03_00078,2,,,,,,,,,,
fe_03_00078,4,,,,,,,,,,
fe_03_00078,6,,,,,,,,,,
fe_03_00078,8,,,,,,,,,,
fe_03_00079,2,,,,,,,,,,
fe_03_00079,4,,,,,,,,,,
fe_03_00079,6,,,,,,,,,,
fe_03_00079,8,,,,,,,,,,
fe_03_00080,2,,,,,,,,,,
fe_03_00080,4,,,,,,,,,,
fe_03_00080,6,,,,,,,,,,
fe_03_00080,8,,,,,,,,,,
fe_03_00081,2,,,,,,,,,,
fe_03_00081,4,,,,,,,,,,
fe_03_00081,6,,,,,,,,,,
fe_03_00081,8,,,,,,,,,,
fe_03_00082,2,,,,,,,,,,
fe_03_00082,4,,,,,,,,,,
fe_03_00082,6,,,,,,,,,,
fe_03_00082,8,,,,,,,,,,
fe_03_00083,2,,,,,,,,,,
fe_03_00083,4,,,,,,,,,,
fe_03_00083,6,,,,,,,,,,
fe_03_00083,8,,,,,,,,,,
fe_03_00084,2,,,,,,,,,,
fe_03_00084,4,,,,,,,,,,
fe_03_00084,6,,,,,,,,,,
fe_03_00084,8,,,,,,,,,,
fe_03_00085,2,,,,,,,,,,
fe_03_00085,4,,,,,,,,,,
fe_03_00085,6,,,,,,,,,,
fe_03_00085,8,,,,,,,,,,
fe_03_00086,2,,,,,,,,,,
fe_03_00086,4,,,,,,,,,,
fe_03_00086,6,,,,,,,,,,
fe_03_00086,8,,,,,,,,,,
fe_03_00087,2,,,,,,,,,,
fe_03_00087,4,,,,,,,,,,
fe_03_00087,6,,,,,,,,,,
fe_03_00087,8,,,,,,,,,,
fe_03_00088,2,,,,,,,,,,
fe_03_00088,4,,,,,,,,,,
fe_03_00088,6,,,,,,,,,,
fe_03_00088,8,,,,,,,,,,
fe_03_00089,2,,,,,,,,,,
fe_03_00089,4,,,,,,,,,,
fe_03_00089,6,,,,,,,,,,
fe_03_00089,8,,,,,,,,,,
fe_03_00090,2,,,,,,,,,,
fe_03_00090,4,,,,,,,,,,
fe_03_00090,6,,,,,,,,,,
fe_03_00090,8,,,,,,,,,,
fe_03_00091,2,,,,,,,,,,
fe_03_00091,4,,,,,,,,,,
fe_03_00091,6,,,,,,,,,,
fe_03_00091,8,,,,,,,,,,
fe_03_00092,2,,,,,,,,,,
fe_03_00092,4,,,,,,,,,,
fe_03_00092,6,,,,,,,,,,
fe_03_00092,8,,,,,,,,,,
fe_03_00093,2,,,,,,,,,,
fe_03_00093,4,,,,,,,,,,
fe_03_00093,6,,,,,,,,,,
fe_03_00093,8,,,,,,,,,,
fe_03_00094,2,,,,,,,,,,
fe_03_00094,4,,,,,,,,,,
fe_03_00094,6,,,,,,,,,,
fe_03_00094,8,,,,,,,,,,
fe_03_00095,2,,,,,,,,,,
fe_03_00095,4,,,,,,,,,,
fe_03_00095,6,,,,,,,,,,
fe_03_00095,8,,,,,,,,,,
fe_03_00096,2,,,,,,,,,,
fe_03_00096,4,,,,,,,,,,
fe_03_00096,6,,,,,,,,,,
fe_03_00096,8,,,,,,,,,,
fe_03_00097,2,,,,,,,,,,
fe_03_00097,4,,,,,,,,,,
fe_03_00097,6,,,,,,,,,,
fe_03_00097,8,,,,,,,,,,
fe_03_00098,2,,,,,,,,,,
fe_03_00098,4,,,,,,,,,,
fe_03_00098,6,,,,,,,,,,
fe_03_00098,8,,,,,,,,,,
fe_03_00099,2,,,,,,,,,,
fe_03_00099,4,,,,,,,,,,
fe_03_00099,6,,,,,,,,,,
fe_03_00099,8,,,,,,,,,,
